id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
11,0,0,"北京","bej","bei jing","11","北京市"
1101,11,1,"北京","bej","bei jing","110100000000","市辖区"
110101,1101,2,"东城","doc","dong cheng","110101000000","东城区"
110102,1101,2,"西城","xic","xi cheng","110102000000","西城区"
110105,1101,2,"朝阳","chy","chao yang","110105000000","朝阳区"
110106,1101,2,"丰台","fet","feng tai","110106000000","丰台区"
110107,1101,2,"石景山","shjs","shi jing shan","110107000000","石景山区"
110108,1101,2,"海淀","had","hai dian","110108000000","海淀区"
110109,1101,2,"门头沟","metg","men tou gou","110109000000","门头沟区"
110111,1101,2,"房山","fas","fang shan","110111000000","房山区"
110112,1101,2,"通州","toz","tong zhou","110112000000","通州区"
110113,1101,2,"顺义","shy","shun yi","110113000000","顺义区"
110114,1101,2,"昌平","chp","chang ping","110114000000","昌平区"
110115,1101,2,"大兴","dax","da xing","110115000000","大兴区"
110116,1101,2,"怀柔","hur","huai rou","110116000000","怀柔区"
110117,1101,2,"平谷","pig","ping gu","110117000000","平谷区"
110118,1101,2,"密云","miy","mi yun","110118000000","密云区"
110119,1101,2,"延庆","yaq","yan qing","110119000000","延庆区"
12,0,0,"天津","tij","tian jin","12","天津市"
1201,12,1,"天津","tij","tian jin","120100000000","市辖区"
120101,1201,2,"和平","hep","he ping","120101000000","和平区"
120102,1201,2,"河东","hed","he dong","120102000000","河东区"
120103,1201,2,"河西","hex","he xi","120103000000","河西区"
120104,1201,2,"南开","nak","nan kai","120104000000","南开区"
120105,1201,2,"河北","heb","he bei","120105000000","河北区"
120106,1201,2,"红桥","hoq","hong qiao","120106000000","红桥区"
120110,1201,2,"东丽","dol","dong li","120110000000","东丽区"
120111,1201,2,"西青","xiq","xi qing","120111000000","西青区"
120112,1201,2,"津南","jin","jin nan","120112000000","津南区"
120113,1201,2,"北辰","bec","bei chen","120113000000","北辰区"
120114,1201,2,"武清","wuq","wu qing","120114000000","武清区"
120115,1201,2,"宝坻","bad","bao di","120115000000","宝坻区"
