id,pid,deep,name,pinyin_prefix,pinyin,ext_id,ext_name
11,0,0,"北京","b","bei jing","110000000000","北京市"
1101,11,1,"北京","b","bei jing","110100000000","北京市"
110101,1101,2,"东城","d","dong cheng","110101000000","东城区"
110102,1101,2,"西城","x","xi cheng","110102000000","西城区"
110105,1101,2,"朝阳","c","chao yang","110105000000","朝阳区"
110106,1101,2,"丰台","f","feng tai","110106000000","丰台区"
110107,1101,2,"石景山","s","shi jing shan","110107000000","石景山区"
110108,1101,2,"海淀","h","hai dian","110108000000","海淀区"
110109,1101,2,"门头沟","m","men tou gou","110109000000","门头沟区"
110111,1101,2,"房山","f","fang shan","110111000000","房山区"
110112,1101,2,"通州","t","tong zhou","110112000000","通州区"
110113,1101,2,"顺义","s","shun yi","110113000000","顺义区"
110114,1101,2,"昌平","c","chang ping","110114000000","昌平区"
110115,1101,2,"大兴","d","da xing","110115000000","大兴区"
110116,1101,2,"怀柔","h","huai rou","110116000000","怀柔区"
110117,1101,2,"平谷","p","ping gu","110117000000","平谷区"
110118,1101,2,"密云","m","mi yun","110118000000","密云区"
110119,1101,2,"延庆","y","yan qing","110119000000","延庆区"
12,0,0,"天津","t","tian jin","120000000000","天津市"
1201,12,1,"天津","t","tian jin","120100000000","天津市"
120101,1201,2,"和平","h","he ping","120101000000","和平区"
120102,1201,2,"河东","h","he dong","120102000000","河东区"
120103,1201,2,"河西","h","he xi","120103000000","河西区"
120104,1201,2,"南开","n","nan kai","120104000000","南开区"
120105,1201,2,"河北","h","he bei","120105000000","河北区"
120106,1201,2,"红桥","h","hong qiao","120106000000","红桥区"
120110,1201,2,"东丽","d","dong li","120110000000","东丽区"
120111,1201,2,"西青","x","xi qing","120111000000","西青区"
120112,1201,2,"津南","j","jin nan","120112000000","津南区"
120113,1201,2,"北辰","b","bei chen","120113000000","北辰区"
120114,1201,2,"武清","w","wu qing","120114000000","武清区"
120115,1201,2,"宝坻","b","bao di","120115000000","宝坻区"
120116,1201,2,"滨海新区","b","bin hai xin qu","120116000000","滨海新区"
120117,1201,2,"宁河","n","ning he","120117000000","宁河区"
120118,1201,2,"静海","j","jing hai","120118000000","静海区"
120119,1201,2,"蓟州","j","ji zhou","120119000000","蓟州区"
13,0,0,"河北","h","he bei","130000000000","河北省"
1301,13,1,"石家庄","s","shi jia zhuang","130100000000","石家庄市"
130102,1301,2,"长安","c","chang an","130102000000","长安区"
130104,1301,2,"桥西","q","qiao xi","130104000000","桥西区"
130105,1301,2,"新华","x","xin hua","130105000000","新华区"
130107,1301,2,"井陉矿区","j","jing xing kuang qu","130107000000","井陉矿区"
130108,1301,2,"裕华","y","yu hua","130108000000","裕华区"
130109,1301,2,"藁城","g","gao cheng","130109000000","藁城区"
130110,1301,2,"鹿泉","l","lu quan","130110000000","鹿泉区"
